Set,Name,Theme,Year,Parts,Store,Cost,Discount
30183-1,Little Car,Creator,2013,50,"Pleasure Bricks (BrickOwl, GB)","CFA1,678Avg: CFA2,869",42%
30327-1,My First Duck,Duplo,2019,6,"Steinchenwelt(BrickOwl, DE)","CFA2,289Avg: CFA3,906",41%
30189-1,Transport Plane,Creator,2014,49,"Pleasure Bricks(BrickOwl, GB)","CFA1,525Avg: CFA2,594",41%
891948-1,Iron Baron,Ninjago,2019,7,"Brick Takeover(BrickOwl, DE)","CFA1,782Avg: CFA3,029",41%
5005249-1,Easter Bunny Hut,Seasonal,2018,6,"Octan(BrickOwl, SE)","CFA1,956Avg: CFA3,325",41%
30341-1,Monkie Kid's Delivery Bike,Monkie Kid,2020,22,"3_BRICKS(BrickOwl, SI)","CFA4,454Avg: CFA7,570",41%
561607-1,Happy Beach,Friends,2016,17,"Brick Takeover(BrickOwl, DE)","CFA1,749Avg: CFA2,972",41%
41902-1,Sparkly Unicorn,DOTS,2020,33,"Timby's Cellar(BrickOwl, BE)","CFA2,952Avg: CFA5,011",41%
41912-1,Love Birds,DOTS,2020,33,"Timby's Cellar(BrickOwl, BE)","CFA2,952Avg: CFA5,010",41%
891844-1,Nitro,Ninjago,2018,26,"Brick Takeover(BrickOwl, DE)","CFA1,312Avg: CFA2,221",41%
70606-1,Spinjitzu Training,Ninjago,2017,109,"Ubricks(BrickLink, US)","CFA3,772Avg: CFA6,385",41%
76125-1,Iron Man Hall of Armour,Super Heroes Marvel,2019,524,"eBay US(eBay, US)","CFA24,015Avg: CFA40,438",41%
561801-1,Wishing Well with Andrea's Little Bird,Friends,2018,21,"Brick Takeover(BrickOwl, DE)","CFA1,461Avg: CFA2,459",41%
70849-1,Wyld-Mayhem Star Fighter,The LEGO Movie,2019,405,"4 Button's bricks(BrickLink, US)","CFA17,480Avg: CFA29,367",40%
6211-1,Imperial Star Destroyer,Star Wars,2006,1389,"ACN BRICKS - FREE S&H>$500(BrickLink, BR)","CFA145,702Avg: CFA244,537",40%
41637-1,Sweet Mayhem,Brickheadz,2019,137,"Amazon US(Amazon, US)","CFA31,700Avg: CFA53,131",40%
30342-1,Lamborghini Huracán Super Trofeo EVO,Speed Champions,2020,70,"South West Bricks UK(BrickOwl, GB)","CFA2,593Avg: CFA4,332",40%
10708-1,Green Creative Box,Classic,2017,66,"Everythingandthelegokitchensink(BrickOwl, US)","CFA2,547Avg: CFA4,255",40%
10403-1,World Fun,Classic,2018,295,"eBay US(eBay, US)","CFA7,231Avg: CFA12,057",40%
30453-1,Captain Marvel and Nick Fury,Super Heroes Marvel,2020,32,"Bienvenue chez les bricks(BrickOwl, CA)","CFA3,001Avg: CFA4,995",40%
71719-1,Zane's Mino Creature,Ninjago,2020,617,"eBay US(eBay, US)","CFA18,348Avg: CFA30,516",40%
5004916-1,Kai's Dojo Pod,Ninjago,2017,37,"Timby's Cellar(BrickOwl, BE)","CFA4,592Avg: CFA7,621",40%
854050-1,Snowman & Reindeer Duo,Seasonal,2020,126,"A brick per day e.U.(BrickOwl, AT)","CFA8,619Avg: CFA14,292",40%
71363-1,Desert Pokey Expansion Set,Super Mario,2020,180,"eBay US(eBay, US)","CFA7,960Avg: CFA13,193",40%
30340-1,Emmet's 'Piece' Offering,The LEGO Movie,2019,44,"uberbrick(BrickOwl, US)","CFA1,889Avg: CFA3,130",40%
70009-1,Worriz’s Combat Lair,Legends of Chima,2013,663,"BricksBoy(BrickLink, US)","CFA32,110Avg: CFA53,166",40%
30342-1,Lamborghini Huracán Super Trofeo EVO,Speed Champions,2020,70,"steinwerk24_com(BrickOwl, DE)","CFA2,617Avg: CFA4,332",40%
71216-1,Nya Fun Pack,Dimensions,2015,59,"TimsBrickHouse(BrickOwl, US)","CFA5,299Avg: CFA8,768",40%
30615-1,Edna Mode,Collectible Minifigures,2018,4,"The Daily Brick(BrickOwl, GB)","CFA4,499Avg: CFA7,439",40%
30609-1,Lloyd,Ninjago,2017,6,"ILBrick(BrickOwl, CH)","CFA2,264Avg: CFA3,744",40%
271827-1,Cyber-Snapper,Nexo Knights,2018,23,"Badeloch's Bricks (BrickOwl, NL)","CFA1,148Avg: CFA1,898",40%
30293-1,Kai Drifter,Ninjago,2015,43,"Pleasure Bricks(BrickOwl, GB)","CFA2,280Avg: CFA3,765",39%
70828-1,Pop-Up Party Bus,The LEGO Movie,2019,1024,"An Honest Brick(BrickLink, US)","CFA31,300Avg: CFA51,658",39%
75524-1,Chirrut Îmwe,Star Wars,2017,87,"We-Like-It Bricks(BrickOwl, US)","CFA11,657Avg: CFA19,227",39%
10763-1,Stephanie's Lakeside House,Juniors,2018,215,"eBay US(eBay, US)","CFA13,222Avg: CFA21,803",39%
271607-1,Firecracker Catapult,Nexo Knights,2016,17,"Replay Toy Cavern(BrickOwl, GB)","CFA1,068Avg: CFA1,757",39%
76142-1,Avengers Speeder Bike Attack,Super Heroes Marvel,2020,251,"eBay US(eBay, US)","CFA8,095Avg: CFA13,300",39%
41601-1,Cyborg,Brickheadz,2018,108,"TimsBrickHouse(BrickOwl, US)","CFA4,905Avg: CFA8,054",39%
41637-1,Sweet Mayhem,Brickheadz,2019,137,"eBay US(eBay, US)","CFA32,374Avg: CFA53,131",39%
30407-1,Harry's Journey to Hogwarts,Harry Potter,2018,40,"Everythingandthelegokitchensink(BrickOwl, US)","CFA3,211Avg: CFA5,259",39%
70838-1,Queen Watevra's ‘So-Not-Evil' Space Palace,The LEGO Movie,2019,997,"Tikirobot's Cantina(BrickLink, US)","CFA36,697Avg: CFA60,083",39%
271723-1,Hovercraft,Nexo Knights,2017,35,"Brick Takeover(BrickOwl, DE)","CFA851Avg: CFA1,394",39%
30522-1,Batman in the Phantom Zone,Super Heroes DC,2017,59,"The Brickening(BrickOwl, DK)","CFA2,042Avg: CFA3,342",39%
75524-1,Chirrut Îmwe,Star Wars,2017,87,"3_BRICKS(BrickOwl, SI)","CFA11,748Avg: CFA19,227",39%
30361-1,Fire ATV,Town,2019,39,"Brick Takeover(BrickOwl, DE)","CFA1,533Avg: CFA2,508",39%
75987-1,Omnic Bastion,Overwatch,2018,182,"eBay US(eBay, US)","CFA14,835Avg: CFA24,256",39%
75957-1,The Knight Bus,Harry Potter,2019,403,"eBay US(eBay, US)","CFA15,294Avg: CFA24,951",39%
911831-1,Kylo Ren's Shuttle,Star Wars,2018,21,"steinwerk24_com(BrickOwl, DE)","CFA1,305Avg: CFA2,128",39%
70674-1,Fire Fang,Ninjago,2019,465,"eBay US(eBay, US)","CFA16,594Avg: CFA27,045",39%
71018-1,Professional Surfer,Collectible Minifigures,2017,6,"shop-bricks(BrickOwl, DE)","CFA2,834Avg: CFA4,609",39%
30407-1,Harry's Journey to Hogwarts,Harry Potter,2018,40,"bricktoys4boys(BrickOwl, US)","CFA3,238Avg: CFA5,259",38%
30115-1,Jungle Boat,Friends,2014,31,"Brick Door(BrickOwl, US)","CFA2,024Avg: CFA3,284",38%
30365-1,Space Satellite,Town,2019,36,"BrickPrick(BrickLink, BE)","CFA1,641Avg: CFA2,661",38%
41158-1,Jasmine's Petite Tower,Disney Princess,2019,49,"For Fans - cheap shipping(BrickLink, RU)","CFA4,993Avg: CFA8,095",38%
112006-1,Lloyd vs. Stone Warrior,Ninjago,2020,12,"Brick Takeover(BrickOwl, DE)","CFA2,571Avg: CFA4,167",38%
561604-1,Cute Kitchen,Friends,2016,24,"Brick Takeover(BrickOwl, DE)","CFA2,117Avg: CFA3,425",38%
60035-1,Arctic Outpost,Town,2014,374,"A HandFul of Bricks(BrickOwl, PL)","CFA23,280Avg: CFA37,604",38%
911943-1,Luke Skywalker,Star Wars,2019,6,"Brick Takeover(BrickOwl, DE)","CFA2,283Avg: CFA3,682",38%
71386-1,Huckit Crab,Super Mario,2021,23,"Steinchenwelt(BrickOwl, DE)","CFA2,014Avg: CFA3,245",38%
40272-1,Witch,Brickheadz,2018,151,"bricktoys4boys(BrickOwl, US)","CFA5,397Avg: CFA8,692",38%
40408-1,Drag Racer,Hidden Side,2020,134,"1brick4all (BrickOwl, IT)","CFA5,904Avg: CFA9,504",38%
8868-1,Airtech Claw Rig,Technic,1992,954,"Bricks Quick!(BrickLink, UK)","CFA341,684Avg: CFA549,888",38%
3578-1,NHL Championship Challenge,Sports,2004,397,"The Brick Studio(BrickLink, CA)","CFA107,932Avg: CFA173,659",38%
71019-1,Kai Kendo,Collectible Minifigures,2017,9,"uberbrick(BrickOwl, US)","CFA1,511Avg: CFA2,430",38%
30402-1,Snowboard Tricks,Friends,2017,27,"Badeloch's Bricks(BrickOwl, NL)","CFA1,476Avg: CFA2,374",38%
21312-1,Women of NASA,LEGO Ideas and CUUSOO,2017,231,"eBay US(eBay, US)","CFA13,357Avg: CFA21,479",38%
76895-1,Ferrari F8 Tributo,Speed Champions,2020,278,"BrickFever ✔(BrickLink, NL)","CFA8,227Avg: CFA13,227",38%
70754-1,ElectroMech,Ninjago,2015,153,"ACN BRICKS - FREE S&H>$500(BrickLink, BR)","CFA13,486Avg: CFA21,681",38%
9916-1,LEGO Electrical Capacitor,Technic,1999,1,"The Brick Guy 22(BrickOwl, US)","CFA12,634Avg: CFA20,303",38%
71026-1,Mister Miracle,Collectible Minifigures,2020,10,"bricktoys4boys (BrickOwl, US)","CFA2,671Avg: CFA4,292",38%
40371-1,Easter Egg,Seasonal,2020,239,"A brick per day e.U.(BrickOwl, AT)","CFA6,450Avg: CFA10,361",38%
41346-1,Friendship Box,Friends,2018,563,"eBay US(eBay, US)","CFA17,803Avg: CFA28,566",38%
88012-1,Technic Hub,Technic,2020,1,"Funny_bricks(BrickLink, HK)","CFA27,840Avg: CFA44,572",38%
10271-1,Fiat 500,Creator,2020,960,"Toys4Kids12(BrickLink, AT)","CFA36,054Avg: CFA57,676",37%
11001-1,Bricks and Ideas,Classic,2019,123,"BrickFever ✔(BrickLink, NL)","CFA4,049Avg: CFA6,474",37%
911841-1,Poe Dameron's X-Wing,Star Wars,2018,48,"Badeloch's Bricks(BrickOwl, NL)","CFA1,240Avg: CFA1,982",37%
77906-1,Wonder Woman,Super Heroes DC,2020,255,"A BRICK TOO FAR...(BrickOwl, US)","CFA37,771Avg: CFA60,313",37%
70828-1,Pop-Up Party Bus,The LEGO Movie,2019,1024,"Nerd Archive(BrickLink, US)","CFA32,374Avg: CFA51,658",37%
75876-1,Porsche 919 Hybrid and 917K Pit Lane,Speed Champions,2016,743,"eBay US(eBay, US)","CFA42,903Avg: CFA68,451",37%
70828-1,Pop-Up Party Bus,The LEGO Movie,2019,1024,"Mercado Family Brick House(BrickLink, US)","CFA32,380Avg: CFA51,658",37%
31200-1,The Sith,LEGO Art,2020,3404,"Take-a-Brick Toyshop (HK)(BrickLink, HK)","CFA45,935Avg: CFA73,270",37%
30361-1,Fire ATV,Town,2019,39,"Bricks Space(BrickOwl, IT)","CFA1,574Avg: CFA2,508",37%
11009-1,Bricks and Lights,Classic,2020,441,"Amazon US(Amazon, US)","CFA10,680Avg: CFA17,007",37%
70838-1,Queen Watevra's ‘So-Not-Evil' Space Palace,The LEGO Movie,2019,997,"Bobby's Bricks(BrickLink, US)","CFA37,771Avg: CFA60,083",37%
30283-1,Off-Road,Creator,2015,43,"Pleasure Bricks(BrickOwl, GB)","CFA1,716Avg: CFA2,722",37%
75269-1,Duel on Mustafar,Star Wars,2020,208,"eBay US(eBay, US)","CFA8,629Avg: CFA13,675",37%
30553-1,Elsa's Winter Throne,Disney,2019,42,"ubertoys.eu(BrickOwl, BE)","CFA2,073Avg: CFA3,282",37%
75940-1,Gallimimus and Pteranodon Breakout,Jurassic World,2020,390,"eBay US(eBay, US)","CFA21,581Avg: CFA34,150",37%
271718-1,Aaron,Nexo Knights,2017,14,"Badeloch's Bricks(BrickOwl, NL)","CFA1,148Avg: CFA1,816",37%
5005156-1,Gingerbread Man,Seasonal,2016,3,"MyBrickUK(BrickOwl, GB)","CFA3,813Avg: CFA6,031",37%
21319-1,Central Perk,LEGO Ideas and CUUSOO,2019,1070,"Steinchenwelt(BrickOwl, DE)","CFA36,202Avg: CFA57,242",37%
76000-1,Arctic Batman vs. Mr. Freeze: Aquaman on Ice,Super Heroes DC,2013,198,"bricktoys4boys(BrickOwl, US)","CFA15,110Avg: CFA23,856",37%
75524-1,Chirrut Îmwe,Star Wars,2017,87,"Replay Toy Cavern(BrickOwl, GB)","CFA12,195Avg: CFA19,227",37%
21154-1,The Blaze Bridge,Minecraft,2019,372," eBay US(eBay, US)","CFA15,100Avg: CFA23,803",37%
30087-1,Cole ZX's Car,Ninjago,2012,27,"WayTooManyBricks(BrickOwl, GB)","CFA2,562Avg: CFA4,037",37%
30614-1,Lex Luthor,Super Heroes DC,2018,4,"Em's Bricks n Pieces(BrickOwl, GB)","CFA3,813Avg: CFA6,001",36%
41167-1,Arendelle Castle Village,Disney,2019,521,"eBay US(eBay, US)","CFA29,411Avg: CFA46,263",36%
30384-1,Snowspeeder,Star Wars,2019,49,"ubertoys.eu(BrickOwl, BE)","CFA2,073Avg: CFA3,256",36%
75238-1,Action Battle Endor Assault,Star Wars,2019,193,"eBay US(eBay, US)","CFA10,788Avg: CFA16,934",36%
40371-1,Easter Egg,Seasonal,2020,239,"Southern Brick Supply(BrickOwl, US)","CFA6,609Avg: CFA10,361",36%
70849-1,Wyld-Mayhem Star Fighter,The LEGO Movie,2019,405,"Country_Bricks(BrickLink, US)","CFA18,753Avg: CFA29,367",36%
892064-1,Jay,Ninjago,2020,13,"Stellar Bricks(BrickOwl, ES)","CFA2,289Avg: CFA3,579",36%
41775-1,Rainbow Unikitty,Unikitty!,2018,15,"The Brickening(BrickOwl, DK)","CFA1,522Avg: CFA2,377",36%
561907-1,Olivia’s Ice Cream Machine,Friends,2019,38,"Badeloch's Bricks(BrickOwl, NL)","CFA1,305Avg: CFA2,039",36%
40425-1,Nutcracker,Brickheadz,2020,180,"Brick Takeover(BrickOwl, DE)","CFA8,993Avg: CFA14,044",36%
70830-1,Sweet Mayhem's Systar Starship!,The LEGO Movie,2019,502,"Mercado Family Brick House(BrickLink, US)","CFA26,983Avg: CFA42,094",36%
70830-1,Sweet Mayhem's Systar Starship!,The LEGO Movie,2019,502,"Tikirobot's Cantina(BrickLink, US)","CFA26,983Avg: CFA42,094",36%
75941-1,Indominus rex vs. Ankylosaurus,Jurassic World,2020,536,"eBay US(eBay, US)","CFA43,712Avg: CFA68,136",36%
30464-1,El Fuego's Stunt Cannon,Hidden Side,2020,46,"Steinchenwelt(BrickOwl, DE)","CFA2,158Avg: CFA3,363",36%
75981-1,Harry Potter Advent Calendar 2020,Seasonal,2020,335,"eBay US(eBay, US)","CFA14,171Avg: CFA22,057",36%
911839-1,Obi-Wan Kenobi,Star Wars,2018,6,"Badeloch's Bricks(BrickOwl, NL)","CFA2,296Avg: CFA3,572",36%
41908-1,Extra DOTS - Series 1,DOTS,2020,99,"gritts bricks(BrickOwl, GB)","CFA1,868Avg: CFA2,907",36%
41343-1,Heartlake City Airplane Tour,Friends,2018,331,"eBay US(eBay, US)","CFA13,222Avg: CFA20,566",36%
70849-1,Wyld-Mayhem Star Fighter,The LEGO Movie,2019,405,"K & M's Brickstore(BrickLink, US)","CFA18,888Avg: CFA29,367",36%
75976-1,Wrecking Ball,Overwatch,2019,227,"Amazon US(Amazon, US)","CFA10,788Avg: CFA16,747",36%
21152-1,The Pirate Ship Adventure,Minecraft,2019,386,"eBay US(eBay, US)","CFA18,883Avg: CFA29,248",35%
30452-1,Iron Man and Dum-E,Super Heroes Marvel,2019,38,"Timby's Cellar(BrickOwl, BE)","CFA3,477Avg: CFA5,366",35%
75892-1,McLaren Senna,Speed Champions,2019,222,"PJ'S BRICK EMPORIUM(BrickLink, US)"," CFA6,476Avg: CFA9,987",35%
853865-1,The LEGO Movie 2 Accessory Set,The LEGO Movie,2019,48,"Brick Door(BrickOwl, US)","CFA6,476Avg: CFA9,987",35%
41158-1,Jasmine's Petite Tower,Disney Princess,2019,49,"DURObricks(BrickLink, SK)","CFA5,252Avg: CFA8,095",35%
211902-1,Robin,Super Heroes DC,2019,7,"Brick Takeover(BrickOwl, DE)","CFA1,934Avg: CFA2,973",35%
76898-1,Formula E Panasonic Jaguar Racing GEN2 car & Jaguar I-PACE eTROPHY,Speed Champions,2020,571,"Amazon US(Amazon, US)","CFA16,184Avg: CFA24,869",35%
60291-1,Family House,Town,2021,388,"sklepklocki(BrickLink, PL)","CFA20,655Avg: CFA31,714",35%
76130-1,Stark Jet and the Drone Attack,Super Heroes Marvel,2019,504,"eBay US(eBay, US)","CFA24,279Avg: CFA37,271",35%
70828-1,Pop-Up Party Bus,The LEGO Movie,2019,1024,"BrickWarehouse(BrickLink, US)","CFA33,670Avg: CFA51,658",35%
75892-1,McLaren Senna,Speed Champions,2019,222,"Toys4Kids12(BrickLink, AT)","CFA6,511Avg: CFA9,987",35%
30623-1,SHAZAM!,Super Heroes DC,2019,5,"Brummy_Bricks(BrickOwl, GB)","CFA7,435Avg: CFA11,403",35%
76151-1,Venomosaurus Ambush,Super Heroes Marvel,2020,647,"eBay US(eBay, US)","CFA35,051Avg: CFA53,745",35%
40167-1,My First Set,Duplo,2016,9,"Rares and Spares(BrickOwl, BE)","CFA1,902Avg: CFA2,916",35%
40413-1,Mini Robots,Mindstorms,2020,366,"steinwerk24_com(BrickOwl, DE)","CFA9,807Avg: CFA15,013",35%
891947-1,Heavy Metal,Ninjago,2019,11,"Brick Takeover(BrickOwl, DE)","CFA1,736Avg: CFA2,656",35%
30116-1,Rapunzel's Market Visit,Disney Princess,2014,37," Pleasure Bricks(BrickOwl, GB)","CFA2,280Avg: CFA3,488",35%
30624-1,Obi-Wan Kenobi - Collectible Minifigure,Star Wars,2019,12,"Amazon US(Amazon, US)","CFA5,818Avg: CFA8,895",35%
30305-1,Spider-Man Super Jumper,Super Heroes Marvel,2015,38,"Bricks Space(BrickOwl, IT)","CFA2,847Avg: CFA4,352",35%
41158-1,Jasmine's Petite Tower,Disney Princess,2019,49,"MTH-BRICK(BrickLink, DK)","CFA5,297Avg: CFA8,095",35%
40214-1,Frog,LEGO Brand Store,2016,60,"bricktoys4boys(BrickOwl, US)","CFA2,428Avg: CFA3,710",35%
40126-1,Alien and Space Dog,LEGO Brand Store,2015,55,"Brick Takeover(BrickOwl, DE)","CFA2,419Avg: CFA3,694",35%
41114-1,Party Styling,Friends,2016,54," WayTooManyBricks(BrickOwl, GB)","CFA2,288Avg: CFA3,494",35%
40469-1,Tuk Tuk,Creator,2021,155,"Amazon US(Amazon, US)","CFA5,380Avg: CFA8,216",35%
5002122-1,TC-4,Star Wars,2014,3,"Personal Bricks(BrickOwl, MY)","CFA7,347Avg: CFA11,216",34%
70837-1,Shimmer & Shine Sparkle Spa!,The LEGO Movie,2019,694,"Whit’s Bricks(BrickOwl, US)","CFA24,279Avg: CFA37,052",34%
80010-1,Demon Bull King,Monkie Kid,2020,1051,"Amazon US(Amazon, US)","CFA33,113List: CFA37,771Avg: CFA57,612",34%
40350-1,Chick,Brickheadz,2019,120,"Brick Takeover(BrickOwl, DE)","CFA6,389Avg: CFA9,741",34%
30527-1,Lucy vs. Alien Invader,The LEGO Movie,2019,44,"Brick Takeover(BrickOwl, DE)","CFA1,957Avg: CFA2,981",34%
40412-1,Hagrid & Buckbeak,Brickheadz,2020,270,"Funny_bricks(BrickLink, HK)","CFA18,792Avg: CFA28,625",34%
31104-1,Monster Burger Truck,Creator,2020,499,"eBay US(eBay, US)","CFA19,422Avg: CFA29,541",34%
76895-1,Ferrari F8 Tributo,Speed Champions,2020,278,"Toys4Kids12(BrickLink, AT)","CFA8,699Avg: CFA13,227",34%
40357-1,BYGGLEK,Other,2020,201,"eBay US(eBay, US)","CFA9,708Avg: CFA14,750",34%
911842-1,Star Destroyer,Star Wars,2018,35,"Brick Takeover(BrickOwl, DE)","CFA1,809Avg: CFA2,748",34%
30628-1,The Monster Book of Monsters,Harry Potter,2020,320,"eBay US(eBay, US)"," CFA21,041Avg: CFA31,951",34%
30605-1,Finn (FN-2187),Star Wars,2016,6,"Brick Takeover(BrickOwl, DE)","CFA5,814Avg: CFA8,826",34%
10274-1,ECTO-1,Ghostbusters,2020,2352,"Relax to Brick(BrickLink, HK)","CFA87,696Avg: CFA132,990",34%
41316-1,Andrea's Speedboat Transporter,Friends,2017,309,"eBay US(eBay, US)","CFA10,254Avg: CFA15,545",34%
561512-1,Winter Fun,Friends,2015,24,"Brick Takeover(BrickOwl, DE)","CFA1,946Avg: CFA2,948",34%
30342-1,Lamborghini Huracán Super Trofeo EVO,Speed Champions,2020,70,"bricktoys4boys(BrickOwl, US)","CFA2,860Avg: CFA4,332",34%
75549-1,Unstoppable Bike Chase,Minions,2020,136,"Amazon US(Amazon, US)","CFA8,629List: CFA10,788Avg: CFA16,318",34%
10196-1,Grand Carousel,Creator,2009,3261,"Shinco Bricks(BrickLink, SG)","CFA1,143,618Avg: CFA1,729,772",34%
41908-1,Extra DOTS - Series 1,DOTS,2020,99,"Steinchenwelt(BrickOwl, DE)","CFA1,922Avg: CFA2,907",34%
31017-1,Sunset Speeder,Creator,2014,119,"playbrick(BrickLink, NL)","CFA5,170Avg: CFA7,812",34%
41378-1,Dolphins Rescue Mission,Friends,2019,374,"eBay US(eBay, US)","CFA15,774Avg: CFA23,821",34%
30604-1,Cosmic Boy,Super Heroes DC,2016,7,"Brick Door(BrickOwl, US)","CFA5,127Avg: CFA7,740",34%
30282-1,Super Secret Police Enforcer,The LEGO Movie,2014,40,"Pleasure Bricks(BrickOwl, GB)","CFA2,280Avg: CFA3,435",34%
302003-1,Cinderella,Disney Princess,2020,5,"Stellar Bricks(BrickOwl, ES)","CFA2,289Avg: CFA3,446",34%
10274-1,ECTO-1,Ghostbusters,2020,2352,"brickcreatshop(BrickLink, HK)","CFA88,392Avg: CFA132,990",34%
21320-1,Dinosaur Fossils,LEGO Ideas and CUUSOO,2019,911,"Amazon US(Amazon, US)","CFA32,374Avg: CFA48,708",34%
60245-1,Police Monster Truck Heist,Town,2020,362,"eBay US(eBay, US)","CFA21,047Avg: CFA31,661",34%
41158-1,Jasmine's Petite Tower,Disney Princess,2019,49,"Mattoncini Prato(BrickLink, IT)","CFA5,381Avg: CFA8,095",34%
77901-1,Sith Trooper Bust,Star Wars,2019,484,"eBay US(eBay, US)","CFA188,341Avg: CFA283,291",34%
11001-1,Bricks and Ideas,Classic,2019,123,"MinifigWorks(BrickLink, US)","CFA4,306Avg: CFA6,474",33%
41158-1,Jasmine's Petite Tower,Disney Princess,2019,49,"Falconer(BrickLink, US)","CFA5,391Avg: CFA8,095",33%
41158-1,Jasmine's Petite Tower,Disney Princess,2019,49,"RedBaron Bricks(BrickLink, US)","CFA5,391Avg: CFA8,095",33%
40314-1,Dr. Fox Magnifying Machine,Unikitty!,2018,76,"Badeloch's Bricks(BrickOwl, NL)","CFA7,871Avg: CFA11,818",33%
271712-1,Clay,Nexo Knights,2017,18," Brick Takeover(BrickOwl, DE)","CFA1,269Avg: CFA1,904",33%
41158-1,Jasmine's Petite Tower,Disney Princess,2019,49,"Mascotte Minifigs & More(BrickLink, US)","CFA5,397Avg: CFA8,095",33%
41158-1,Jasmine's Petite Tower,Disney Princess,2019,49,"Brick loads of fun(BrickLink, US)","CFA5,397Avg: CFA8,095",33%
41158-1,Jasmine's Petite Tower,Disney Princess,2019,49,"Connect The Brick(BrickLink, US)","CFA5,397Avg: CFA8,095",33%
40353-1,"Reindeer, Elf & Elfie",Brickheadz,2019,281,"Steinchenwelt(BrickOwl, DE)","CFA9,715Avg: CFA14,563",33%
88010-1,Remote Control,Power Functions,2019,1,"Amazon UK(Amazon, GB)","CFA9,875Avg: CFA14,799",33%
41255-1,Pop Village Celebration,Trolls: World Tour,2020,384,"eBay US(eBay, US)","CFA18,883Avg: CFA28,222",33%
211901-1,Batman,Super Heroes DC,2019,7,"Brick Takeover(BrickOwl, DE)","CFA2,058Avg: CFA3,076",33%
70825-1,Queen Watevra's Build Whatever Box!,The LEGO Movie,2019,455,"eBay US(eBay, US)","CFA14,544Avg: CFA21,729",33%
30571-1,Pelican,Creator,2019,62,"Whit’s Bricks(BrickOwl, US)","CFA2,153Avg: CFA3,216",33%
40220-1,London Bus,Creator,2016,118,"Brick Door(BrickOwl, US)","CFA7,555Avg: CFA11,275",33%
41902-1,Sparkly Unicorn,DOTS,2020,33,"Amazon US(Amazon, US)","CFA3,362Avg: CFA5,011",33%
60291-1,Family House,Town,2021,388,"Toys4Kids12(BrickLink, AT)","CFA21,282Avg: CFA31,714",33%
30556-1,Mini Frame,DOTS,2020,85,"ubertoys.eu(BrickOwl, BE)","CFA2,273Avg: CFA3,386",33%
71365-1,Piranha Plant Power Slide Expansion Set,Super Mario,2020,217,"eBay US(eBay, US)","CFA11,732Avg: CFA17,474",33%
76174-1,Spider-Man's Monster Truck vs. Mysterio,Super Heroes Marvel,2021,447,"eBay US(eBay, US)","CFA18,888Avg: CFA28,131",33%
10750-1,Road Repair Truck,Juniors,2018,73,"Replay Toy Cavern(BrickOwl, GB)","CFA4,874Avg: CFA7,252",33%
10270-1,Bookshop,Modular Buildings,2020,2504,"Relax to Brick(BrickLink, HK)","CFA73,776Avg: CFA109,751",33%
7255-1,General Grievous Chase,Star Wars,2005,112,"Pernat's Bricks(BrickLink, US)","CFA75,552Avg: CFA112,337",33%
75250-1,Pasaana Speeder Chase,Star Wars,2019,372,"ADOPT_A_BRICK(BrickLink, US)","CFA17,247Avg: CFA25,641",33%
40412-1,Hagrid & Buckbeak,Brickheadz,2020,270,"Yego MiniFigs(BrickLink, CA)","CFA19,258Avg: CFA28,625",33%
40381-1,Monkey King,Brickheadz,2020,175,"Brick Takeover(BrickOwl, DE)","CFA8,660Avg: CFA12,865",33%
30293-1,Kai Drifter,Ninjago,2015,43,"United Parts(BrickOwl, GB)","CFA2,536Avg: CFA3,765",33%
5248-1,62 mm Tires and Hubs / 62 mm Tyres and Hubs,Service Packs,1987,4,"3_BRICKS(BrickOwl, SI)","CFA6,708Avg: CFA9,941",33%
75522-1,Mini Droid Commander,Star Wars,2019,62,"Amazon US(Amazon, US)","CFA26,956Avg: CFA39,939",33%
75935-1,Baryonyx Face-Off: The Treasure Hunt,Jurassic World,2019,434,"eBay US(eBay, US)","CFA24,716Avg: CFA36,610",32%
30365-1,Space Satellite,Town,2019,36,"Pitdroid's Brick Empire(BrickLink, US)","CFA1,797Avg: CFA2,661",32%
75177-1,First Order Heavy Scout Walker,Star Wars,2017,554,"eBay US(eBay, US)","CFA20,507Avg: CFA30,342",32%
71709-1,Jay and Lloyd's Velocity Racers,Ninjago,2020,323,"eBay US(eBay, US)","CFA12,946Avg: CFA19,153",32%
75987-1,Omnic Bastion,Overwatch,2018,182,"Venusia Bricks(BrickOwl, BE)","CFA16,399Avg: CFA24,256",32%
30363-1,Race Boat,Town,2019,34,"Brick Takeover(BrickOwl, DE)","CFA1,843Avg: CFA2,725",32%
30465-1,Helicopter,Technic,2021,70," Favorite Cubes(BrickLink, RU)","CFA1,889Avg: CFA2,793",32%
30241-1,Mandalorian Fighter,Star Wars,2013,49,"Bricks by Brickney(BrickLink, CA)","CFA4,279Avg: CFA6,325",32%
9668-1,Energy Display,Educational and Dacta,2010,1,"Brick Takeover(BrickOwl, DE)","CFA18,024Avg: CFA26,630",32%
30002-1,Police Boat,Town,2009,30,"WayTooManyBricks(BrickOwl, GB)","CFA3,965Avg: CFA5,855",32%
30304-1,The Avengers Quinjet,Super Heroes Marvel,2015,56,"Pleasure Bricks(BrickOwl, GB)","CFA4,568Avg: CFA6,744",32%
5000062-1,Darth Maul,Star Wars,2012,7,"Eirgo(BrickOwl, IE)","CFA16,392Avg: CFA24,189",32%
